model,accuracy,precision,recall,f1_score
gradient_boosting,0.9998,1.0,0.9997922725384296,0.9998961254804196
logistic_regression,0.9997,1.0,0.9996884088076444,0.9998441801277723
random_forest,0.9997,1.0,0.9996884088076444,0.9998441801277723
