model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std,false_positive_rate_mean,false_positive_rate_std
extra_trees,0.9777023033062529,0.02376197332765601,0.970380911384001,0.027575978737431173,0.9856999999999999,0.02058937158395614,0.9779161344256557,0.022731500287206684,0.9776445627757196,0.02384031230439622,0.9779534008748559,0.023840461525201636,0.9530830992910383,0.044867448302244435,0.9555220640896012,0.047607983653860854,0.02979319825028832,0.028892689906305693
logistic_regression,0.8904294781903648,0.13388824004607466,0.8733628873540198,0.12843407592808131,0.9188000000000001,0.16935967642859973,0.891030347769927,0.13706990795519144,0.890126046506379,0.1341274881600643,0.8935200251737635,0.13170136571299995,0.9135677812614574,0.08502991440692928,0.7914777290392666,0.2612096417687372,0.1317599496524729,0.13506422279778793
gradient_boosting,0.8782138966077563,0.07423673291554873,0.8286469596279765,0.11085921990078335,0.9866666666666667,0.020834333309334457,0.8969187128562586,0.059113818559616144,0.8722231958907829,0.07967037776225365,0.8728632991086431,0.08001423005908119,0.7889483702356116,0.14347972092418596,0.7780461484820493,0.12923151832427562,0.2409400684493804,0.17320424953572047
random_forest,0.8783202436194587,0.07443982031107803,0.8298096554945037,0.11044649180749785,0.9854666666666667,0.020935880949009767,0.8971116582815617,0.05826522314354135,0.8719909203171733,0.08073023465990832,0.8725387310829207,0.08166433122255405,0.9563653563695947,0.03962732983458092,0.7775566521928992,0.13048853240255495,0.24038920450082504,0.17723871735166977
